Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
SW3,SW_SPDT,SW_SPDT_PCM12,101.600000,-84.582000,180.000000,bottom
C1,1u,C_0603_1608Metric,110.744000,-69.596000,90.000000,top
C2,1u,C_0603_1608Metric,99.568000,-72.390000,180.000000,top
C3,4.7u,C_0603_1608Metric,99.568000,-68.834000,180.000000,top
C4,100n,C_0603_1608Metric,99.568000,-70.612000,180.000000,top
C5,100n,C_0603_1608Metric,104.140000,-69.596000,90.000000,top
C6,6.8p,C_0402_1005Metric,110.490000,-71.882000,0.000000,top
C7,6.8p,C_0402_1005Metric,110.490000,-77.470000,180.000000,top
C8,5.6p,C_0402_1005Metric,106.172000,-69.596000,90.000000,top
D1,LED,LED_0603,101.600000,-83.058000,0.000000,top
L1,4.7n,L_0603,102.362000,-69.596000,90.000000,top
L2,DNP,L_0402,107.442000,-70.358000,0.000000,top
L3,DNP,L_0402,107.442000,-68.834000,0.000000,top
R1,4.7K,R_0603_1608Metric,96.266000,-76.962000,180.000000,top
R2,12K,R_0603_1608Metric,109.220000,-69.596000,90.000000,top
R3,4.7K,R_0603_1608Metric,104.394000,-79.502000,270.000000,top
R4,4.7K,R_0603_1608Metric,99.568000,-74.168000,0.000000,top
R6,220,R_0603_1608Metric,101.600000,-81.534000,0.000000,top
R7,4.7K,R_0603_1608Metric,99.568000,-75.946000,180.000000,top
SW1,SW_Push,SW_SPST_TL3342,94.742000,-82.296000,90.000000,top
SW2,SW_Push,SW_SPST_TL3342,108.458000,-82.296000,90.000000,top
U1,ESP8285,QFN-32-1EP_5x5mm_Pitch0.5mm,104.902000,-74.168000,180.000000,top
Y1,Crystal_GND24_Small,Crystal_SMD_3225-4Pin_3.2x2.5mm,109.982000,-74.676000,270.000000,top
